what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469698027109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469698032484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469698036625
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469698047145
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1469698047780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469698048427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469698053334
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1469698062975
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.stop",1469698065310
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1469698065675
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1469698067216
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1469698067774
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1469698068073
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1469698071393
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1469698074727
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469698076497
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469698077393
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1469698077420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469698080300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469698088317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469698097326
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469698101453
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1469698101486
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1469698102072
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1469698103834
